handle,Problems Solved,Problems Partially Solved,Solutions Submitted,Solutions Partially Accepted,Solutions Accepted,WA,CTE,RTE,TLE
ak47singh321,2,0,20,0,2,11,0,7,0
minku1996,13,0,26,0,14,10,2,0,0
Shashank_786,0,0,7,0,0,0,4,3,0
zartab786,1,0,7,0,1,3,2,0,1
Shivam_4,1,0,9,0,1,3,5,0,0
puja_05,23,1,56,1,24,21,3,2,5
shrianmol_95,6,0,19,0,7,11,1,0,0
Priya1596,3,0,31,0,4,19,5,3,0
mrakgupta1,7,0,52,0,7,14,28,0,3
anjali87,18,1,53,1,18,24,10,0,0
prachi_111,12,0,23,0,13,5,3,0,2
anjali87,18,1,53,1,18,24,10,0,0
endurance1,22,0,81,0,22,42,11,6,0
aditi_19,0,0,0,0,0,0,0,0,0
sumant_1410,0,0,0,0,0,0,0,0,0
bandhan1810,2,0,11,0,2,6,3,0,0
gsaumya3412,2,0,5,0,2,2,1,0,0
sag17798,16,0,58,0,17,19,8,9,5
vaishali04,7,0,21,0,8,5,7,1,0
ambey_1997,0,0,0,0,0,0,0,0,0
riya_678,6,0,13,0,6,0,7,0,0
dkash10,1,0,3,0,1,1,1,0,0
shikhar1997,71,2,185,7,84,72,2,8,12
abhi9415,20,0,41,0,22,15,1,3,0
nandan111,3,0,10,0,3,0,5,0,2
ash425023,0,0,0,0,0,0,0,0,0
ujjwal1912,0,0,0,0,0,0,0,0,0
nk20422,1,0,4,0,1,0,2,1,0
surya_1611,3,0,16,0,3,4,3,6,0
vivekbharti41,7,0,29,0,7,10,1,10,1
laukesh_123,20,0,100,0,22,52,14,4,8
sankalp95,5,0,17,0,6,8,2,1,0
deepak310,1,0,16,0,1,9,4,2,0
chandan_111,0,0,0,0,0,0,0,0,0
aftab_iert1997,3,0,6,0,3,1,2,0,0
shubh_jai,0,0,0,0,0,0,0,0,0
sanju_iert1432,0,0,0,0,0,0,0,0,0
